ID;Authors;Year;N_sample;Effect_size;Temp_media;Precipitacao;Temp_sazonal;Prec_sazonal;Range;Position;Transition;Historic_land;Topography;yi;vi;Clim_mac;;-4;4
630;Li,_F.,_Cai,_Q.,_Ye,_L.;2010;24;-0.33;13.51557931;1076.028302;835.6457203;64.45504433;NA;NA;Foragr;70;65.82608089;-0.342828254;0.047619048;0.420555301;;;
630;Li,_F.,_Cai,_Q.,_Ye,_L.;2010;24;-0.25;13.51557931;1076.028302;835.6457203;64.45504433;NA;NA;Forurb;70;65.82608089;-0.255412812;0.047619048;0.420555301;;;
23;Moore,_A.A.,_Palmer,_M.A.;2005;29;-0.68;13.0908404;1074.956522;862.5422921;11.33140825;NA;60;Forurb;70;102.8124245;-0.829114038;0.038461538;0.586929643;;;
23;Moore,_A.A.,_Palmer,_M.A.;2005;29;0;13.0908404;1074.956522;862.5422921;11.33140825;NA;NA;Foragr;70;102.8124245;0;0.038461538;0.586929643;;;
806;Robinson,_C.T.,_Schuwirth,_N.,_Baumgartner,_S.,_Stamm,_C.;2014;13;-0.13;6.003333787;1268.075758;616.0033653;16.71331988;NA;NA;Foragr;70;64.46289634;-0.13073985;0.1;0.651443441;;;
806;Robinson,_C.T.,_Schuwirth,_N.,_Baumgartner,_S.,_Stamm,_C.;2014;13;0.27;6.003333787;1268.075758;616.0033653;16.71331988;NA;NA;Forurb;70;64.46289634;0.276863823;0.1;0.651443441;;;
806;Robinson,_C.T.,_Schuwirth,_N.,_Baumgartner,_S.,_Stamm,_C.;2014;11;0.33;6.003333787;1268.075758;616.0033653;16.71331988;NA;NA;Forurb;70;64.46289634;0.342828254;0.125;0.651443441;;;
806;Robinson,_C.T.,_Schuwirth,_N.,_Baumgartner,_S.,_Stamm,_C.;2014;11;0.35;6.003333787;1268.075758;616.0033653;16.71331988;NA;NA;Foragr;70;64.46289634;0.365443754;0.125;0.651443441;;;
339;Li,_F.,_Chung,_N.,_Bae,_M.-J.,_Kwon,_Y.-S.,_Park,_Y.-S.;2012;685;-0.32;10.72051655;1240.736842;978.4747127;81.55593939;NA;NA;Foragr;70;72.3864815;-0.331647109;0.001466276;0.785563172;;;
339;Li,_F.,_Chung,_N.,_Bae,_M.-J.,_Kwon,_Y.-S.,_Park,_Y.-S.;2012;685;-0.21;10.72051655;1240.736842;978.4747127;81.55593939;NA;NA;Forurb;70;72.3864815;-0.213171347;0.001466276;0.785563172;;;
2038;Schneider,_C.,_Ekschmitt,_K.,_Wolters,_V.,_Birkhofer,_K.;2011;10;-0.81;8.339382792;875.2857143;626.4408556;13.97684391;NA;NA;Foragr;70;39.6695769;-1.127029026;0.142857143;0.93085364;;;
2038;Schneider,_C.,_Ekschmitt,_K.,_Wolters,_V.,_Birkhofer,_K.;2011;10;-0.68;8.339382792;875.2857143;626.4408556;13.97684391;NA;NA;Foragr;70;39.6695769;-0.829114038;0.142857143;0.93085364;;;
977;Li,_Z.,_Wang,_J.,_Liu,_Z.,_Meng,_X.,_Heino,_J.,_Jiang,_X.,_Xiong,_X.,_Jiang,_X.,_Xie,_Z.;2019;67;-0.24;12.70736596;765.6203704;876.985364;71.3173766;NA;NA;Forurb;80;37.7948959;-0.244774113;0.015625;1.002375255;;;
977;Li,_Z.,_Wang,_J.,_Liu,_Z.,_Meng,_X.,_Heino,_J.,_Jiang,_X.,_Xiong,_X.,_Jiang,_X.,_Xie,_Z.;2019;67;-0.12;12.70736596;765.6203704;876.985364;71.3173766;NA;NA;Foragr;80;37.7948959;-0.120581028;0.015625;1.002375255;;;
1138;Limburg,_K.E.,_Stainbrook,_K.M.,_Erickson,_J.D.,_Gowdy,_J.M.;2005;33;0.09;9.19128377;1184.933884;929.7790164;10.20357195;NA;NA;Foragr;70;87.78776699;0.090244188;0.033333333;1.02420259;;;
1138;Limburg,_K.E.,_Stainbrook,_K.M.,_Erickson,_J.D.,_Gowdy,_J.M.;2005;33;0.35;9.19128377;1184.933884;929.7790164;10.20357195;NA;NA;Forurb;70;87.78776699;0.365443754;0.033333333;1.02420259;;;
148;Gutiérrez-Cánovas,_C.,_Millán,_A.,_Velasco,_J.,_Vaughan,_I.P.,_Ormerod,_S.J.;2013;63;-0.83;13.83953173;429.3125;714.8629243;44.54572449;NA;NA;Foragr;70;37.65049564;-1.188136404;0.016666667;1.031641835;;;
1815;Li,_S.,_Yang,_W.,_Wang,_L.,_Chen,_K.,_Xu,_S.,_Wang,_B.;2018;48;-0.02;10.99981827;712.1296296;871.3350321;71.41329221;NA;NA;Foragr;80;51.94922466;-0.020002667;0.022222222;1.259470147;;;
1815;Li,_S.,_Yang,_W.,_Wang,_L.,_Chen,_K.,_Xu,_S.,_Wang,_B.;2018;48;0;10.99981827;712.1296296;871.3350321;71.41329221;NA;NA;Forurb;80;51.94922466;0;0.022222222;1.259470147;;;
8;Lammert,_M.,_Allan,_J.D.;1999;18;-0.07;9.182259403;863.1206897;994.9856189;22.6790241;NA;NA;Foragr;60;20.14188185;-0.070114671;0.066666667;1.569759163;;;
157;Stepenuck,_K.F.,_Crunkilton,_R.L.,_Wang,_L.;2002;43;-0.56;8.040316065;838.9338843;1009.466295;34.37338288;NA;NA;Forurb;60;20.96330405;-0.632833187;0.025;1.74866394;;;
157;Stepenuck,_K.F.,_Crunkilton,_R.L.,_Wang,_L.;2002;43;-0.35;8.040316065;838.9338843;1009.466295;34.37338288;NA;NA;Forurb;60;20.96330405;-0.365443754;0.025;1.74866394;;;
157;Stepenuck,_K.F.,_Crunkilton,_R.L.,_Wang,_L.;2002;43;0.39;8.040316065;838.9338843;1009.466295;34.37338288;NA;NA;Foragr;60;20.96330405;0.411800034;0.025;1.74866394;;;
157;Stepenuck,_K.F.,_Crunkilton,_R.L.,_Wang,_L.;2002;43;0.42;8.040316065;838.9338843;1009.466295;34.37338288;NA;NA;Foragr;60;20.96330405;0.447692024;0.025;1.74866394;;;
345;Waite,_I.R.,_Brown,_L.R.,_Kennen,_J.G.,_May,_J.T.,_Cuffney,_T.F.,_Orlando,_J.L.,_Jones,_K.A.;2010;148;-0.1;6.281728116;449.6031746;723.9891091;34.85687701;NA;NA;Foragr;0;24.37867778;-0.100335348;0.006896552;1.905625936;;;
2295;Zhang,_Y.,_Jia,_X.,_Lin,_J.,_Qian,_C.,_Gao,_X.,_Ding,_S.;2019b;36;-0.17;5.769055783;955.2689076;1250.266973;102.6092928;NA;NA;Foragr;80;46.18521292;-0.171666664;0.03030303;2.251670209;;;
2295;Zhang,_Y.,_Jia,_X.,_Lin,_J.,_Qian,_C.,_Gao,_X.,_Ding,_S.;2019b;169;-0.43;5.889405845;853.8064516;1290.334655;101.9271886;NA;NA;Foragr;80;47.28463941;-0.459896681;0.006024096;2.453562536;;;
;;;;;;;;;;;;;;;;-2.40964E-11;;;
;;;;;;;;;;;;;;;;0.108083835;;;
